,CNN-32-32-32-Dense-32,CNN-64-64-64-Dense-64,Dense-128-128,Dense-128,Dense-32-32,Dense-32,Dense-64-64,Dense-64,Flatten,NCNN-32-32-32-Dense-32,NCNN-64-64-64-Dense-64,NDense-128-128,NDense-128,NDense-32-32,NDense-32,NDense-64-64,NDense-64
Epoch 0,0.7023887038230896,0.9734436869621276,0.8939283490180969,0.846979558467865,0.8772802352905273,0.8222858309745789,0.8697338700294495,0.8394523859024048,0.8055033087730408,0.9006682038307191,0.949844479560852,0.8609585762023926,0.8231306672096252,0.8066170215606691,0.7540420293807983,0.8466339111328125,0.7986289858818054
Epoch 1,0.8594031929969788,0.9775912761688232,0.9773609042167664,0.9280502200126648,0.9381888508796692,0.8828296065330505,0.954990565776825,0.8974422812461853,0.7966511845588684,0.9627481698989868,0.97338604927063,0.940973162651062,0.8498406410217285,0.8890702128410339,0.8302546143531799,0.9101347923278807,0.8592687845230103
Epoch 2,0.9329659342765808,0.9830254912376404,0.9812204837799072,0.9304504990577698,0.9544721245765686,0.92365300655365,0.9722147583961488,0.9349245429039,0.8267598748207092,0.9735012650489808,0.9807020425796508,0.9595222473144532,0.891048014163971,0.8735358715057373,0.8588463664054871,0.940281867980957,0.8605360984802246
Epoch 3,0.940281867980957,0.9831790924072266,0.9366911053657532,0.960539937019348,0.9720035195350648,0.9316025972366332,0.9716194868087769,0.9538961052894592,0.8308498859405518,0.9782249927520752,0.9823917746543884,0.968988835811615,0.8863435387611389,0.9092323184013368,0.8614962100982666,0.9143016338348388,0.8119551539421082
Epoch 4,0.9757094979286194,0.9844272136688232,0.9773609042167664,0.9765543937683104,0.9643035531044006,0.9486923217773438,0.9808364510536194,0.9777449369430542,0.8342678546905518,0.9747686386108398,0.9847728610038756,0.9737508893013,0.8802181482315063,0.9451975822448729,0.8858442902565002,0.9615960717201232,0.8654710054397583
Epoch 5,0.9735205173492432,0.9824110269546508,0.9805676341056824,0.9776105284690856,0.9701601266860962,0.962460160255432,0.9847344160079956,0.9791082739830016,0.8356503844261169,0.9806444048881532,0.9835439324378968,0.9730980396270752,0.8998809456825256,0.9512078166007996,0.8699834942817688,0.9572948217391968,0.8889358043670654
Epoch 6,0.9777449369430542,0.9827182292938232,0.9823341965675354,0.984119951725006,0.9758630990982056,0.9641499519348145,0.9803372025489808,0.9791658520698548,0.83399897813797,0.9821614027023317,0.981182098388672,0.9754790663719176,0.9172971248626708,0.9197741746902466,0.8686009645462036,0.9703713655471802,0.8926225900650024
Epoch 7,0.9789546728134156,0.984119951725006,0.9812973141670228,0.9839471578598022,0.975306272506714,0.9774761199951172,0.9829294681549072,0.9829294681549072,0.8253197073936462,0.9815853238105774,0.9829294681549072,0.950804591178894,0.9332347512245178,0.8869772553443909,0.8808326125144958,0.9611160159111024,0.9131495356559752
Epoch 8,0.9795883297920228,0.9845808148384094,0.9836975336074828,0.9834862947463988,0.9763047695159912,0.960751175880432,0.9823917746543884,0.9778985381126404,0.8334037661552429,0.9831022620201112,0.9809900522232056,0.9786282181739808,0.9208878874778748,0.921137511730194,0.8442912697792053,0.9718499183654784,0.9088866710662842
Epoch 9,0.9829486608505248,0.9849840402603148,0.9782441854476928,0.9827758073806764,0.9670494198799132,0.9792042970657348,0.9822958111763,0.9823725819587708,0.8587311506271362,0.9807980060577391,0.9838895797729492,0.977917730808258,0.9331579804420472,0.9576212763786316,0.9030108451843262,0.9733476638793944,0.914570450782776
